scheme_name,Tracking_Error_NIFTY50,Tracking_Error_NIFTY100,Rank_vs_NIFTY50,Rank_vs_NIFTY100
HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.2282217849822835,0.2249762864379556,3.0,3.0
ICICI Pru Midcap Fund - Regular - Growth,0.22844691726310182,0.23266121743560642,4.0,4.0
Kotak Flexicap Fund - Regular - Growth,0.20506699571897424,0.20653967537989154,2.0,2.0
Mirae Asset Large Cap Fund - Regular - Growth,0.19186766489266005,0.18797377271500346,1.0,1.0
SBI Small Cap Fund - Regular Plan - Growth,0.28155855554398845,0.2866885786369596,5.0,5.0
